endpoint_group,sex,age_group,vacc_status,event_count
any_throm_haem,Male,70-75,PB_21-27,9
any_throm_haem,Male,70-75,PB_27+,1093
any_throm_haem,Male,70-75,PB_7-13,10
any_throm_haem,Male,70-75,Unvaccinated,2188
any_throm_haem,Male,75-80,AZ_0-6,17
any_throm_haem,Male,75-80,AZ_14-20,22
any_throm_haem,Male,75-80,AZ_21-27,19
any_throm_haem,Male,75-80,AZ_27+,1559
any_throm_haem,Male,75-80,AZ_7-13,13
any_throm_haem,Male,75-80,PB_0-6,6
any_throm_haem,Male,75-80,PB_14-20,7
any_throm_haem,Male,75-80,PB_21-27,NA
any_throm_haem,Male,75-80,PB_27+,811
any_throm_haem,Male,75-80,PB_7-13,7
any_throm_haem,Male,75-80,Unvaccinated,2164
any_throm_haem,Male,80-85,AZ_0-6,5
any_throm_haem,Male,80-85,AZ_14-20,11
any_throm_haem,Male,80-85,AZ_21-27,14
any_throm_haem,Male,80-85,AZ_27+,1282
any_throm_haem,Male,80-85,AZ_7-13,11
any_throm_haem,Male,80-85,PB_0-6,NA
any_throm_haem,Male,80-85,PB_14-20,NA
any_throm_haem,Male,80-85,PB_21-27,5
any_throm_haem,Male,80-85,PB_27+,282
any_throm_haem,Male,80-85,PB_7-13,6
any_throm_haem,Male,80-85,Unvaccinated,1432
any_throm_haem,Male,85-90,AZ_0-6,6
any_throm_haem,Male,85-90,AZ_14-20,8
any_throm_haem,Male,85-90,AZ_21-27,7
any_throm_haem,Male,85-90,AZ_27+,691
any_throm_haem,Male,85-90,AZ_7-13,7
any_throm_haem,Male,85-90,PB_0-6,NA
any_throm_haem,Male,85-90,PB_14-20,NA
any_throm_haem,Male,85-90,PB_21-27,NA
any_throm_haem,Male,85-90,PB_27+,125
any_throm_haem,Male,85-90,PB_7-13,NA
any_throm_haem,Male,85-90,Unvaccinated,716
any_throm_haem,Male,90+,AZ_0-6,NA
any_throm_haem,Male,90+,AZ_14-20,NA
any_throm_haem,Male,90+,AZ_21-27,NA
any_throm_haem,Male,90+,AZ_27+,246
any_throm_haem,Male,90+,AZ_7-13,NA
any_throm_haem,Male,90+,PB_0-6,NA
any_throm_haem,Male,90+,PB_14-20,NA
any_throm_haem,Male,90+,PB_27+,52
any_throm_haem,Male,90+,Unvaccinated,277
any_throm,Female,15-20,AZ_27+,NA
any_throm,Female,15-20,PB_0-6,NA
any_throm,Female,15-20,PB_27+,50
any_throm,Female,15-20,PB_7-13,NA
any_throm,Female,15-20,Unvaccinated,53
any_throm,Female,20-25,AZ_27+,37
any_throm,Female,20-25,PB_0-6,NA
any_throm,Female,20-25,PB_14-20,NA
any_throm,Female,20-25,PB_27+,64
any_throm,Female,20-25,PB_7-13,NA
any_throm,Female,20-25,Unvaccinated,156
any_throm,Female,25-30,AZ_14-20,NA
any_throm,Female,25-30,AZ_27+,119
any_throm,Female,25-30,AZ_7-13,NA
any_throm,Female,25-30,PB_21-27,NA
any_throm,Female,25-30,PB_27+,137
any_throm,Female,25-30,PB_7-13,NA
any_throm,Female,25-30,Unvaccinated,314
any_throm,Female,30-35,AZ_14-20,NA
any_throm,Female,30-35,AZ_21-27,NA
any_throm,Female,30-35,AZ_27+,183
any_throm,Female,30-35,AZ_7-13,NA
any_throm,Female,30-35,PB_0-6,NA
any_throm,Female,30-35,PB_21-27,NA
any_throm,Female,30-35,PB_27+,195
any_throm,Female,30-35,PB_7-13,NA
any_throm,Female,30-35,Unvaccinated,525
any_throm,Female,35-40,AZ_0-6,NA
any_throm,Female,35-40,AZ_27+,222
any_throm,Female,35-40,AZ_7-13,5
any_throm,Female,35-40,PB_0-6,5
any_throm,Female,35-40,PB_14-20,NA
any_throm,Female,35-40,PB_21-27,5
any_throm,Female,35-40,PB_27+,214
any_throm,Female,35-40,Unvaccinated,596
any_throm,Female,40-45,AZ_0-6,7
any_throm,Female,40-45,AZ_14-20,12
any_throm,Female,40-45,AZ_21-27,5
any_throm,Female,40-45,AZ_27+,397
any_throm,Female,40-45,AZ_7-13,NA
any_throm,Female,40-45,PB_21-27,NA
any_throm,Female,40-45,PB_27+,169
any_throm,Female,40-45,PB_7-13,NA
any_throm,Female,40-45,Unvaccinated,789
any_throm,Female,45-50,AZ_0-6,NA
any_throm,Female,45-50,AZ_14-20,6
any_throm,Female,45-50,AZ_21-27,NA
any_throm,Female,45-50,AZ_27+,380
any_throm,Female,45-50,AZ_7-13,NA
any_throm,Female,45-50,PB_0-6,NA
any_throm,Female,45-50,PB_21-27,NA
any_throm,Female,45-50,PB_27+,225
any_throm,Female,45-50,PB_7-13,NA
any_throm,Female,45-50,Unvaccinated,614
any_throm,Female,50-55,AZ_0-6,6
any_throm,Female,50-55,AZ_14-20,12
any_throm,Female,50-55,AZ_21-27,11
any_throm,Female,50-55,AZ_27+,699
any_throm,Female,50-55,AZ_7-13,11
any_throm,Female,50-55,PB_0-6,NA
any_throm,Female,50-55,PB_14-20,6
any_throm,Female,50-55,PB_27+,319
any_throm,Female,50-55,PB_7-13,NA
any_throm,Female,50-55,Unvaccinated,1087
any_throm,Female,55-60,AZ_0-6,12
any_throm,Female,55-60,AZ_14-20,15
any_throm,Female,55-60,AZ_21-27,13
any_throm,Female,55-60,AZ_27+,965
any_throm,Female,55-60,AZ_7-13,13
any_throm,Female,55-60,PB_0-6,NA
any_throm,Female,55-60,PB_14-20,NA
any_throm,Female,55-60,PB_21-27,5
any_throm,Female,55-60,PB_27+,278
any_throm,Female,55-60,Unvaccinated,1191
any_throm,Female,60-65,AZ_0-6,NA
any_throm,Female,60-65,AZ_14-20,12
any_throm,Female,60-65,AZ_21-27,8
any_throm,Female,60-65,AZ_27+,944
any_throm,Female,60-65,AZ_7-13,6
any_throm,Female,60-65,PB_0-6,NA
any_throm,Female,60-65,PB_14-20,7
any_throm,Female,60-65,PB_21-27,NA
any_throm,Female,60-65,PB_27+,263
any_throm,Female,60-65,PB_7-13,NA
any_throm,Female,60-65,Unvaccinated,1148
any_throm,Female,65-70,AZ_0-6,NA
any_throm,Female,65-70,AZ_14-20,7
any_throm,Female,65-70,AZ_21-27,5
any_throm,Female,65-70,AZ_27+,711
any_throm,Female,65-70,AZ_7-13,5
any_throm,Female,65-70,PB_0-6,NA
any_throm,Female,65-70,PB_14-20,9
any_throm,Female,65-70,PB_21-27,8
any_throm,Female,65-70,PB_27+,721
any_throm,Female,65-70,PB_7-13,5
any_throm,Female,65-70,Unvaccinated,1363
any_throm,Female,70-75,AZ_0-6,NA
any_throm,Female,70-75,AZ_14-20,12
any_throm,Female,70-75,AZ_21-27,5
any_throm,Female,70-75,AZ_27+,951
any_throm,Female,70-75,AZ_7-13,8
any_throm,Female,70-75,PB_0-6,NA
any_throm,Female,70-75,PB_14-20,7
any_throm,Female,70-75,PB_21-27,7
any_throm,Female,70-75,PB_27+,775
any_throm,Female,70-75,PB_7-13,NA
any_throm,Female,70-75,Unvaccinated,1553
any_throm,Female,75-80,AZ_0-6,11
any_throm,Female,75-80,AZ_14-20,19
any_throm,Female,75-80,AZ_21-27,15
any_throm,Female,75-80,AZ_27+,1328
any_throm,Female,75-80,AZ_7-13,13
any_throm,Female,75-80,PB_0-6,5
any_throm,Female,75-80,PB_14-20,NA
any_throm,Female,75-80,PB_21-27,NA
any_throm,Female,75-80,PB_27+,576
any_throm,Female,75-80,PB_7-13,6
any_throm,Female,75-80,Unvaccinated,1730
any_throm,Female,80-85,AZ_0-6,14
any_throm,Female,80-85,AZ_14-20,9
any_throm,Female,80-85,AZ_21-27,16
any_throm,Female,80-85,AZ_27+,1221
any_throm,Female,80-85,AZ_7-13,7
any_throm,Female,80-85,PB_0-6,NA
any_throm,Female,80-85,PB_14-20,NA
any_throm,Female,80-85,PB_21-27,NA
any_throm,Female,80-85,PB_27+,264
any_throm,Female,80-85,PB_7-13,8
any_throm,Female,80-85,Unvaccinated,1306
any_throm,Female,85-90,AZ_0-6,10
any_throm,Female,85-90,AZ_14-20,NA
any_throm,Female,85-90,AZ_21-27,10
any_throm,Female,85-90,AZ_27+,876
any_throm,Female,85-90,AZ_7-13,6
any_throm,Female,85-90,PB_14-20,NA
any_throm,Female,85-90,PB_21-27,NA
any_throm,Female,85-90,PB_27+,167
any_throm,Female,85-90,PB_7-13,NA
any_throm,Female,85-90,Unvaccinated,985
any_throm,Female,90+,AZ_0-6,NA
any_throm,Female,90+,AZ_14-20,NA
any_throm,Female,90+,AZ_21-27,5
any_throm,Female,90+,AZ_27+,506
any_throm,Female,90+,AZ_7-13,6
any_throm,Female,90+,PB_0-6,NA
any_throm,Female,90+,PB_27+,109
any_throm,Female,90+,PB_7-13,NA
any_throm,Female,90+,Unvaccinated,614
any_throm,Male,15-20,AZ_27+,NA
any_throm,Male,15-20,PB_21-27,NA
any_throm,Male,15-20,PB_27+,26
any_throm,Male,15-20,Unvaccinated,18
any_throm,Male,20-25,AZ_27+,18
any_throm,Male,20-25,PB_27+,17
any_throm,Male,20-25,PB_7-13,NA
any_throm,Male,20-25,Unvaccinated,58
any_throm,Male,25-30,AZ_0-6,NA
any_throm,Male,25-30,AZ_14-20,NA
any_throm,Male,25-30,AZ_21-27,NA
any_throm,Male,25-30,AZ_27+,70
any_throm,Male,25-30,AZ_7-13,NA
any_throm,Male,25-30,PB_27+,67
any_throm,Male,25-30,PB_7-13,5
any_throm,Male,25-30,Unvaccinated,164
any_throm,Male,30-35,AZ_0-6,NA
any_throm,Male,30-35,AZ_14-20,NA
any_throm,Male,30-35,AZ_21-27,NA
any_throm,Male,30-35,AZ_27+,137
any_throm,Male,30-35,PB_0-6,NA
any_throm,Male,30-35,PB_14-20,NA
any_throm,Male,30-35,PB_21-27,NA
any_throm,Male,30-35,PB_27+,115
any_throm,Male,30-35,PB_7-13,NA
any_throm,Male,30-35,Unvaccinated,297
any_throm,Male,35-40,AZ_0-6,NA
any_throm,Male,35-40,AZ_14-20,NA
any_throm,Male,35-40,AZ_27+,151
any_throm,Male,35-40,PB_14-20,5
any_throm,Male,35-40,PB_21-27,NA
any_throm,Male,35-40,PB_27+,173
any_throm,Male,35-40,PB_7-13,NA
any_throm,Male,35-40,Unvaccinated,534
any_throm,Male,40-45,AZ_0-6,5
any_throm,Male,40-45,AZ_14-20,8
any_throm,Male,40-45,AZ_21-27,NA
any_throm,Male,40-45,AZ_27+,448
any_throm,Male,40-45,AZ_7-13,10
any_throm,Male,40-45,PB_21-27,NA
any_throm,Male,40-45,PB_27+,96
any_throm,Male,40-45,PB_7-13,NA
any_throm,Male,40-45,Unvaccinated,718
any_throm,Male,45-50,AZ_0-6,6
any_throm,Male,45-50,AZ_14-20,NA
any_throm,Male,45-50,AZ_21-27,9
any_throm,Male,45-50,AZ_27+,539
any_throm,Male,45-50,AZ_7-13,NA
any_throm,Male,45-50,PB_0-6,NA
any_throm,Male,45-50,PB_14-20,NA
any_throm,Male,45-50,PB_21-27,NA
any_throm,Male,45-50,PB_27+,162
any_throm,Male,45-50,PB_7-13,NA
any_throm,Male,45-50,Unvaccinated,877
any_throm,Male,50-55,AZ_0-6,12
any_throm,Male,50-55,AZ_14-20,12
any_throm,Male,50-55,AZ_21-27,NA
any_throm,Male,50-55,AZ_27+,991
any_throm,Male,50-55,AZ_7-13,8
any_throm,Male,50-55,PB_0-6,NA
any_throm,Male,50-55,PB_14-20,NA
any_throm,Male,50-55,PB_21-27,NA
any_throm,Male,50-55,PB_27+,214
any_throm,Male,50-55,PB_7-13,NA
any_throm,Male,50-55,Unvaccinated,1343
any_throm,Male,55-60,AZ_0-6,7
any_throm,Male,55-60,AZ_14-20,14
any_throm,Male,55-60,AZ_21-27,15
any_throm,Male,55-60,AZ_27+,1270
any_throm,Male,55-60,AZ_7-13,23
any_throm,Male,55-60,PB_0-6,NA
any_throm,Male,55-60,PB_14-20,NA
any_throm,Male,55-60,PB_21-27,NA
any_throm,Male,55-60,PB_27+,264
any_throm,Male,55-60,PB_7-13,NA
any_throm,Male,55-60,Unvaccinated,1882
any_throm,Male,60-65,AZ_0-6,12
any_throm,Male,60-65,AZ_14-20,21
any_throm,Male,60-65,AZ_21-27,17
any_throm,Male,60-65,AZ_27+,1501
any_throm,Male,60-65,AZ_7-13,20
any_throm,Male,60-65,PB_0-6,NA
any_throm,Male,60-65,PB_14-20,NA
any_throm,Male,60-65,PB_27+,316
any_throm,Male,60-65,PB_7-13,NA
any_throm,Male,60-65,Unvaccinated,1896
any_throm,Male,65-70,AZ_0-6,7
any_throm,Male,65-70,AZ_14-20,10
any_throm,Male,65-70,AZ_21-27,10
any_throm,Male,65-70,AZ_27+,876
any_throm,Male,65-70,AZ_7-13,10
any_throm,Male,65-70,PB_0-6,7
any_throm,Male,65-70,PB_14-20,9
any_throm,Male,65-70,PB_21-27,8
any_throm,Male,65-70,PB_27+,965
any_throm,Male,65-70,PB_7-13,10
any_throm,Male,65-70,Unvaccinated,1711
any_throm,Male,70-75,AZ_0-6,9
any_throm,Male,70-75,AZ_14-20,12
any_throm,Male,70-75,AZ_21-27,8
any_throm,Male,70-75,AZ_27+,895
any_throm,Male,70-75,AZ_7-13,7
any_throm,Male,70-75,PB_0-6,10
any_throm,Male,70-75,PB_14-20,7
any_throm,Male,70-75,PB_21-27,5
any_throm,Male,70-75,PB_27+,846
any_throm,Male,70-75,PB_7-13,7
any_throm,Male,70-75,Unvaccinated,1742
any_throm,Male,75-80,AZ_0-6,14
any_throm,Male,75-80,AZ_14-20,20
any_throm,Male,75-80,AZ_21-27,16
any_throm,Male,75-80,AZ_27+,1234
any_throm,Male,75-80,AZ_7-13,11
any_throm,Male,75-80,PB_0-6,5
any_throm,Male,75-80,PB_14-20,5
any_throm,Male,75-80,PB_21-27,NA
any_throm,Male,75-80,PB_27+,648
any_throm,Male,75-80,PB_7-13,5
any_throm,Male,75-80,Unvaccinated,1760
any_throm,Male,80-85,AZ_0-6,NA
any_throm,Male,80-85,AZ_14-20,8
any_throm,Male,80-85,AZ_21-27,14
any_throm,Male,80-85,AZ_27+,974
any_throm,Male,80-85,AZ_7-13,11
any_throm,Male,80-85,PB_0-6,NA
any_throm,Male,80-85,PB_14-20,NA
any_throm,Male,80-85,PB_21-27,5
any_throm,Male,80-85,PB_27+,218
any_throm,Male,80-85,PB_7-13,5
any_throm,Male,80-85,Unvaccinated,1164
any_throm,Male,85-90,AZ_0-6,NA
any_throm,Male,85-90,AZ_14-20,7
any_throm,Male,85-90,AZ_21-27,6
any_throm,Male,85-90,AZ_27+,494
any_throm,Male,85-90,AZ_7-13,NA
any_throm,Male,85-90,PB_0-6,NA
any_throm,Male,85-90,PB_14-20,NA
any_throm,Male,85-90,PB_21-27,NA
any_throm,Male,85-90,PB_27+,99
any_throm,Male,85-90,PB_7-13,NA
